"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"ACTWSNACTNY_UNKNOWN",0.304347826086957,0.504671522106967,0.0992333343771191,0.279564691429207,1.07357813638057,98,"HSPB9, TRPS1, FOXO1, ADM, SOX2, CCNA2, TSPAN6, AHCYL2, TMOD3, RASD1, XPO1, RNF17, ZCCHC8, ACP6, TMEM150A, CARD9, ATL3, BBX, TMEM245, RCN3, HSCB, FYCO1, SLC10A7"
"ADA2_TARGET_GENES",1,1,0.0287155399266326,0.118894492073538,0.575163867183587,807,"SHOX2, HOXC8, MNX1, PRDM6, MFAP2, DDIT4, SLCO4A1, ANXA2, GATA3, CPVL, HSPB9, TES, FZD2, MAP3K8, BCL6, SLC4A11, G0S2, LRRC32, MAML2, FLI1, NXN, FZD1, NR2F2, GABPA, MECOM, FOSL2, SOX5, FANCC, MKNK2, MTHFD2L, FKBP10, ATP13A4, FAM118A, NXT2, ZFHX4, RFX3, LRRC58, STARD10, MITD1, ADAP2, DPY19L4, PPIL6, TNPO1, GATM, CGGBP1, SH2D2A, PAXBP1, NR2F1, SMPD2, STK3, NIPBL, BCAT2, HNRNPF, ALG10B, ACAD11, TVP23B, PER1, CTDSP2, ZMPSTE24, SMIM20, MED23, PTPN21, MRPS31, TSPAN10, INPP4B, ZNF582, MPLKIP, SNX16, MYBL1, GLIPR1, TOP3B, LOXL1-AS1, RPS3A, TRIP4, SUGT1, SNORD46, ZNF718, PCID2, HMGA2, NOL8, TOR1AIP1, PRRG2, TDP2, EEF1A1, INTS12, PIH1D2, RSBN1, SEC11A, NPAS3, DPY19L3, PUS10, RFC4, ZBTB20, BANP, MTRF1, NFIA, ZFHX3, ZNF384, ZNF677, ARL6IP4, ABHD13, GPBP1L1, DNAJC2, PHF21A, FAM227B, SNAP25-AS1, ZNF768, RPL9, NOP2, FOXN3, ZNF850, ANXA4, DDX21, DPP9, RPS8, RBM28, PHKA2, STARD3, MAD2L2, PRPF18, SLC33A1, HERC3, MAMDC2-AS1, BBS10, NUDT5, METTL15, RAP2C, ATL2, CCDC38, MTG1, MEIS2, SNRNP27, THUMPD1, NSL1, PPID, EXD2, RNF6, RPL5, DTWD1, ZFP62, BRI3, NR1H3, RPS24, NELFA, SPATA5L1, ZNF410, EEF1D, GTF3C3, PYURF, CEACAM19, RPS3, ZNF302, TACC3, TAF12, PLEKHA1, MINPP1, TTC26, ZBTB11, CWC27, HSP90AA1, WDR36, MRPL18, HDAC8, SCAND3, ACOT13, LSM5, SNHG6, ZNF770, TGS1, ZZZ3, TOR1B, TMEM41A, TRABD, LINC00667, ERI1, RPS4X, NCOA2, LRRC37A5P, RPL11, LOXL1, REXO4, PEX13, BANF1, C3orf38, BRWD3, AGO3, VCPIP1, ZSCAN9, ZNF561, MRPL44, KIAA0586, RPS7, STX16"
"ADNP_TARGET_GENES",0.681203007518797,0.937610881135423,0.0501934252649434,0.200749072185624,0.939459181922732,528,"SLC22A8, NFE2, RBM47, ZFP36L1, CTSS, ANG, CCR5, PDLIM1, PIK3AP1, TYROBP, GADD45B, RHBDF2, IL1RL1, LUCAT1, LAPTM5, RN7SL449P, FCGRT, STK17B, CDA, GPR160, ITGB4, CSF3R, PLAUR, TBX6, AQP1, ID1, TMC8, ACOX2, TMEM119, ICAM1, CIITA, NBEAL1, TIPARP, FRRS1, SELPLG, NOX1, CYP4F12, MRC2, ACTL6A, TULP1, FANCC, KRT15, CCDC117, PROSER2, CLU, RAB27A, LINC00926, B4GALT4, TMPRSS6, NEBL, PHF19, HSPB1P2, PIK3R2, MFNG, HLA-E, STAG2, BCL3, COL27A1, VAV1, ZNF24, FGF17, AXL, GRAP2, B2M, IL21R, SORBS1, CDC42BPG, LILRB4, PUS7L, CARHSP1, UNC93B1, SLC25A20, SLC25A24, CDH5, CDC45, LCP2, UBR5, PLEKHG2, MAPRE1"
"AEBP2_TARGET_GENES",0.506024096385542,0.755950631795475,0.0585937568945671,0.200652311735592,0.985686256216684,1028,"HOXC6, RBM47, HOXB6, SLC26A2, KLF5, PLA2G2A, CLDN7, TRIP10, UBE2C, GPRC5A, DSE, C15orf48, PMEL, TXNIP, BCL6, DNAAF3, PHLDB2, RHOBTB3, SLC7A11, GPR160, CEP152, TOP2A, MYC, KRT8, MYL12A, CHEK2, EPS8, TMEM45A, CXCL2, MTFR2, SASH1, COL6A2, FAM43A, HSPA1B, SEMA3C, AHCYL2, UNG, VASP, ASF1B, TMEM150B, PRCP, RHOQ, FOS, HYAL2, NR2F2-AS1, C4orf47, LRP4-AS1, CENPA, AFF1, PPP1R13L, TJP3, NR2F2, DRAM1, GABPA, ACTL6A, GNG12-AS1, FOSL2, SIRT4, PMF1-BGLAP, BNIP2, CDC42EP4, HBP1, ALDH1A2, FBXO5, ELP4, NABP1, TMEM39A, LRIF1, ZNF267, HDAC1, PPP1R1B, JAG1, XPO1, RBM7, SREK1, MAOA, CDCA2, ZDHHC2, ZMYND8, CREBRF, HNRNPH1, ZNF678, NR2F1, ZBTB5, AGFG2, FRAT2, SLC16A5, DANCR, PCBP1-AS1, KCNIP2-AS1, CENPK, ING1, CD164, CHD1, KDM3A, PLEKHG2, FRMD6, SERPINB6, MAT2A, LINC00881, RUFY1, NME2, FRYL, ACP6, ALDH6A1, LARP4, SEC24A, LINC00649, TMEM218, RIBC1, DECR1, DNMBP, PAN2, ARG2, FLCN, ETV2, HIBCH, ALDH2, CREB3L2, ZFAND6, TCP11L2, ZNF695, BBX, CKS1B, SS18, DDX3X, TAF8, FBXO33, ARRDC3, OGT, WASF2, RAG1, KCTD9, ZC2HC1C, PDE4D, HSCB, ATF7, ZNF92, HAT1, ZNF823, HEXA-AS1, GPT2, NOL8, TMPO, TCAIM, MALAT1, MBTD1, RBM15, SNHG10, SPATA17, ZNF680, CPSF2, BTN2A2, RNFT1, RPN2, SEMA4B, GOLPH3L, FAM13A, ECE1, PRR15, EEF1A1, ZBTB26, RAB28, FAM76B, TMBIM6, GSPT1, RRAS, BCCIP, PIH1D2, SYS1, HOXD3, JMY, SHKBP1, ZNF273, JUP, SMC3, ZBTB20, C1QTNF6, ABCA7, COMMD6, UCHL3, EED, TANK, PPFIBP1, SRRM5, USP3, RAD51B, MBNL1, GPBP1L1, FAM161A, RBBP6, HIGD2A, SARNP, CDK1, UBALD2, SAP30L-AS1, ZCCHC10, PAFAH1B3, NOP2, HJURP, DHFR, CREB1, WDR45, TSC22D1, ANXA4, HSF2, CDK2AP2, DDX21, RECQL, DPP9, RBM39, WDR5B, NMD3, HNRNPC, IFIH1, RIOK2, UIMC1, HERC3, MPZL1, STARD7, TMCO1, EFNA1, TK1, MTO1, ISL2, CBR4, CARS2, CDC25C, ARID4A, PKIA, RHBDD1, DDR1, ARHGAP19, RPL30, S100A14, EIF2AK3, MSANTD4, STT3A, SHC1, ALKBH1, RPS27, SYNCRIP"
"AFP1_Q6",1.45552409476614e-08,3.10089915841482e-07,0.747739663149885,0.448069730686198,1.95234530217045,240,"HOXD10, HOXC10, HOXD9, HOXC6, OTP, SIX1, SHOX2, FOXA1, C3AR1, ECEL1, GSX1, KLF15, TMEM71, TEX15, HOXC4, HGF, KCNN3, EGFR, ZIC1, GPC4, MSX2, MYC, MYBPC1, SEMA3C, IRF4, EFEMP1, COL8A1, FLI1, PRRX1, SIPA1, CFB, S1PR1, ARHGDIB, SOAT1, STC1, CALD1, ZIC4, DTNA, EDA, FOXF2, ZFHX4, ERG, DPYD, EPHA7, DMRTA1, SESN3, ZMYND8, ZNF654, SP4, SMC4, BACE2, NR2F1, NIPBL, RBMS1, PELI2, PALMD, CHRDL1, LAMC1, SLC4A4, BTG4, ZNF143, NOG"
"AGCYRWTTC_UNKNOWN",0.0811287477954145,0.1698849846998,0.208955027549354,0.324817540962753,1.25731963043444,110,"PITX2, FOXA1, EGFLAM, MEOX2, IKZF2, FSTL1, STC2, MSTN, TSC22D3, NR2E1, LIF, SIRT1, NFAM1, SOX21, NUFIP2, PTH1R, HSD3B7, NXF3, FAP, APOBR, MASP1, SLCO1C1, BMX, NOTCH4, ZFHX3, CMKLR1, DMD, LGI1, OMA1"
"AHRARNT_01",0.0234702517030688,0.0562367889217785,0.352487857583619,0.340492245230301,1.36028227176817,136,"HOXB9, HOXA5, RUNX1, WFIKKN2, LHX1, GSX1, KLF15, HK2, AJUBA, SGK1, TGFB1, ID4, STC2, PAX6, HES1, MXI1, SOAT1"
"AHRR_TARGET_GENES",0.46797385620915,0.708832116050954,0.0611692626746689,0.2018877487842,0.995204774687274,1100,"HOXC8, SCIN, SCNN1A, HSPA6, RIPK4, SOCS3, BMP4, ID3, SLC1A5, CYP1B1, ANG, BATF, TGIF1, PRELP, ZIC2, AJUBA, KLF4, TBX3, STON1-GTF2A1L, ZNF217, GPC4, SECTM1, CD302, ADAMTS9, HCG14, GNG12, ID1, PNRC1, PARD3B, EPS8, RBM48, MYOF, CHSY1, DDX43, CNN2, STC2, TSPEAR, LPIN3, BMF, KIAA1958, CMTM3, HES1, CEP112, GLUL, CDKN1A, PRCP, BMPR1A, SELENBP1, ARHGAP5, SNRNP48, SP1, TMEM123, ZNF750, NEDD1, FAS, RELA, SLC25A30, NFE2L2, C17orf67, FGF11, ZNF652, CAT, CRNDE, ERBB2, FOSL2, PPP4R2, SLC30A1, LYSMD3, PROSER2, G3BP1, NAMPT, JMJD6, DTNA, HBP1, PHACTR2, TPRG1-AS1, MT-ND6, IFRD1, BMI1, FGFR1OP2, RPL22L1, FREM2, LGR4, VEGFA, DNAJB4, MCL1, CAV2, LACTB, AXDND1, RERG, NADK2, TMEM39A, KAT2B, DEK, LRRC58, ARL4A, STAG2, PPIL6, SNORD101, BAMBI, AHCTF1, CCNL1, CDCA2, ZMYND8, CREBRF, HNRNPH1, KLF6, ZNF181, PAXBP1, SLC3A2, SMPD2, PPM1D, MIS18BP1, AGFG2, ZHX1, IL6ST, CA8, ARID2, KDM3A, KHNYN, GAS2L3, BMP7, FCHSD2, EGLN3, SNORD12C, UBR5, ATP1B3, ZNF141, PLEKHG2, SDCBP, RUFY1, MYRFL, NME2, HSPE1, IGF1R, GPRC5C, LPP, HPS3, CCDC146, MED23, PDS5A, SP3, NEAT1, KCNK2, C2orf49, RBM17, BCL2L12, WBP1L, INPP4B, PCF11, TBC1D15, MPLKIP, SNX16, SPICE1, MYBL1, TCP11L2, ARRDC2, TOP3B, LRRC37A6P, CCDC174, SS18, PARD6B, DDX3X, HS3ST3B1, RANBP2, ARRDC3, KCTD9, CLDN12, ERLIN2, RRN3, SLC27A2, SZRD1, FANCI, DEPDC1B, NCOA3, TMBIM1, AKNAD1, HEXA-AS1, METTL25, ZNF234, PPP1R15B, NOL8, HSPD1, SMPDL3A, GHR, SNHG10, AP4E1, ZNF260, GOLGA4, THOC2, RNFT1, STIP1, USP38, CPT1A, C5orf24, NQO1, EEF1A1, TMEM9B-AS1, TSPAN4, PNPLA8, TMED10, ZNF148, SNHG7, RSBN1, SEC11A, FOXN2, DPY19L3, FAM185BP, HIPK1, PUS10, RPS10P7, SPG21, EED, SPRED1, EVA1B, ALCAM, TMEM106B, PABPC1, BTD, ATXN7, CGRRF1, FUBP1, NRP1, PCBP2, MBNL1, CD63, SOS1, GTF3C6, DNAJC2, FAM227B, GALNT10, DHX15, CCDC88C, NUDT17, ANKRD12, LTA4H, GPN3, ZFAS1, MSL2, TBX1, CDKN1B, RARG, KCTD21-AS1, HEATR6, CDK2AP2, SOX6, PLCG1, DPP9, RBM28, CCDC107, C2orf42, RNF7, DCLRE1B, MAX, RPS6KA5, TMEM167B, STARD7, ABI1, SWT1, RSAD1, ISL2, FYN, CA5BP1, CCDC59, CNOT2, RPS6KB1, ADH5, STAM2, RNU6-8, NOD1, SMARCD2, MEIS2, CIT, SCYL2, ALKBH1, EXD2, PHF3, PIR, ATG12, DTWD1, NR1H3, POLG2, RCOR1, NES, EEF1D, CAMSAP2, SMAD2, AXIN2, HEG1, PTMA, MTF1, MFSD1, SRSF1, CREBBP, ZCCHC7, CACYBP, KATNBL1, WDR36, SORBS3, WDR33, DCLRE1C, UBE2D3, ZNF770, GMCL1, SAAL1, PGRMC2, FRAT1, FBL, JARID2, SLC7A1, PEAK1, USP1, GPR19, NAAA, CPEB4, RHOA, RCC2, ARAF, NOB1, SNRPA, CDC14B, REXO4, ERCC6, PEX13, PSMD6, SPAG17, RBPJ"
"AHR_01",0.868794326241135,1,0.0466015072985992,0.218992543545444,0.776848944064087,58,"SLC22A8, PRX, THAP2, RUNX3, TGIF2, NADK2, CREBRF, HMG20B, ZFX, ZFC3H1, PLAGL2, PIH1D2, EED, DMD, PCBP2"
"AHR_Q5",0.99837925445705,1,0.0360729976388226,0.161546341428187,0.689102559736957,208,"HOXC6, TBX5, RUNX1, CYP1B1, HOXC4, ZIC2, AJUBA, MAF, GADD45G, NR2F2, KANSL1L, FGFR1OP2, VEGFA, LUM, REL, STARD10, ASCL1, STAG1"
"ALKBH3_TARGET_GENES",1,1,0.0331626424471441,0.117271560900288,0.532260970175435,378,"YAP1, P4HA1, GABPA, CPED1, FBXL7, DKK1, G3BP1, MTHFD2L, GLI3, MITD1, ADAP2, DPY19L4, CGGBP1, SLC3A2, PPM1D, HIF1A, TVP23B, NEK4, PER1, ZMPSTE24, MED23, TIAL1, PTPN21, INTS6, MRPS31, TOP3B, TRIP4, RANBP2, HNRNPH3, PLEKHA3, TOR1AIP1, AHSA1, ZNF443, TDP2, INTS12, TMBIM6, PIH1D2, SEC11A, MBL1P, MTRF1, SNHG1, ZNF677, NRP1, GPBP1L1, INTS6-AS1, DNAJC2, FAM227B, PRDX1, RBM28, PHKA2, STARD3, SLC33A1, NUDT5, METTL15, RAP2C, RPS27, ETV4, NSL1, EXD2, RNF6, DTWD1, RPS24, ZNF410, CCND1, ZNF302, TACC3, CTR9, ZCCHC7, DCAF10, ZBTB11, CWC27, WDR36, ACOT13, SNHG6, TMEM41A, LRRC37A5P, REXO4, PSMD6, BANF1, C3orf38, AGO3, ZSCAN9, C8orf76, ZNF561, MRPL44, RPS7, NCBP2, STX16, PDCD10, PSTK, DCP1A, SMG8, OSGEPL1, SENP1, HELQ, ENPP3, TBC1D19, ITSN1, JAK1, THAP10, ZNF581, SRSF5, AQR, TMEM209, EBAG9, COPS2, RPL10, MED18, EFCAB7, PDCD6IP, CDC16, NSA2, LZIC, TEFM, COA6, MPHOSPH10, ZNF391, USPL1, MRPL39, PRKCI, CDKL3, GIN1, RRP15, RUVBL1, TTC4, DPAGT1, RPL29, ZNF195, RFXANK, ZNF569, USP30, USP39, WDR11, COX16"
"ALPHACP1_01",0.00245590936480665,0.0085650931584004,0.431707695803346,0.338206313501263,1.46870828659148,235,"HOXD10, HOXA10, SIX1, SNX20, TP63, COL1A1, GPC3, UBE2C, HK2, SLC9C2, SMAD6, NFATC4, PNRC1, DLEU1, EBF2, KLF1, PAX1, TSC22D3, OLFML3, HES1, CKS2, SYCP3, RP2, PRCP, RHOQ, SERTAD1, SP1, MID1, ADCY10, ACTL6A, CALD1, CDH1, SP140L, ELK1, WNT3, ANKRD49, PPP1R1B, PNRC2, XPO1, ETAA1, DBI, GATM, NIPBL, AGFG2, POLA1, PCNA, ZBTB10, TLE1, POU3F3, PCF11, ZNF644, WASF2, HSCB, IRS1, TUG1, ASPM, USP21, CADM1, DLEU2, PPM1B"
"ALX4_TARGET_GENES",0.147329650092081,0.278194715010095,0.155241966228839,0.433960306787066,1.28564474408099,25,"KLF5, NEDD4, NR5A2, ARHGEF38, MLLT3, ZFAND6, PDE4D, MALAT1, DTWD1, LSM5, SLC41A2, DUT, DNAJC21"
"AMEF2_Q6",0.0125063464689025,0.0334869386325806,0.380730400722792,0.310691268474109,1.35228394436343,238,"HOXA10, HOXC6, BNC2, HOXB5, HOXB6, TP63, ZFP36L1, PDLIM1, EDN1, CLIC1, NEDD4, GJB6, GPC4, CKM, EYA1, B4GALT1, SOX2, SSPN, ABCA6, MSTN, TSPEAR, TNNC1, FLT1, PRRX1, MID1, NEXN-AS1, S1PR1, SOX5, LYN, DKK1, PYY2, HLX, SALL3, FAM110D, RUNX2, RFX3, SMARCA1, CNTLN, USP47, SALL1, INPPL1, BACE2"
"AML1_01",0.000865317153762307,0.00341939843018976,0.477270815362862,0.351077164373585,1.53456830645555,250,"HOXC6, S100A9, RGS1, FOXD2, TBX5, SCNN1A, RGS18, PRRG4, FCER1G, ID3, ARHGAP42, BATF, HOXC4, SCEL, EMP1, ITGA10, VIM, APLNR, MMP14, LCK, NOTCH2, PTPN22, CD69, CTSK, BMF, PAX6, NHLRC2, ACSL5, DNASE2B, XCL1, FLI1, ARHGAP30, PXN, BCAR3, FGD4, SOX5, SLC15A3, MR1, DKK1, CRY1, HLX, SIRT1, PGF, DENND2D, CREM, HP1BP3, INPPL1, RAB30, TCF12, BTG4, PDZK1, LRP5, RDH5, CALHM3, MRPS31, PTPN7, KCNJ1, PCF11, TWF1, LCOR"
"AML1_Q6",0.000865317153762307,0.00341939843018976,0.477270815362862,0.351077164373585,1.53456830645555,250,"HOXC6, S100A9, RGS1, FOXD2, TBX5, SCNN1A, RGS18, PRRG4, FCER1G, ID3, ARHGAP42, BATF, HOXC4, SCEL, EMP1, ITGA10, VIM, APLNR, MMP14, LCK, NOTCH2, PTPN22, CD69, CTSK, BMF, PAX6, NHLRC2, ACSL5, DNASE2B, XCL1, FLI1, ARHGAP30, PXN, BCAR3, FGD4, SOX5, SLC15A3, MR1, DKK1, CRY1, HLX, SIRT1, PGF, DENND2D, CREM, HP1BP3, INPPL1, RAB30, TCF12, BTG4, PDZK1, LRP5, RDH5, CALHM3, MRPS31, PTPN7, KCNJ1, PCF11, TWF1, LCOR"
"AML_Q6",5.03655116912323e-09,1.29890003835283e-07,0.761460801445585,0.45736187556678,1.99555490828996,239,"OTP, MMP9, SHOX2, SLC26A7, BNC2, HOXB5, RGS1, TBX5, MEOX2, HOXB6, LINC00310, TP63, RUNX1, IL18RAP, CCR1, SLA, BATF, IL7R, SASH3, DOK2, CD28, BCL6, ITGA10, VIM, STON1-GTF2A1L, CYTIP, APLNR, PI15, LCK, EYA1, PTPN22, CCL2, DUSP1, BOC, B3GNT5, CD69, CTSK, PAX1, NHLRC2, TSC22D3, MKLN1, FLT1, CCDC102A, XCL1, FLI1, PRSS35, BCAR3, CAV1, LIF, SOX5, ZIC4, CRY1, HLX, MSI2, RBL1, FOXF2, RUNX2, WNK4, PURG, PGF, PTCH1, ERG, TAS1R1, VASN, CREM, ZMYND8, GRAP2"
"AP1FJ_Q2",0.0230976471716078,0.0554796427161167,0.352487857583619,0.295427050976772,1.29418438981799,254,"HOXA11, HOXD9, LYVE1, UCN2, DCN, IL9, IL1RN, S100A10, TRIP10, UBE2C, MMP19, ATOH8, MYBPH, LAPTM5, VIM, EPHA2, SLC4A11, IL6, ITGB8, PAX9, TMEM156, TOB1, ID1, ABI3, TGFBR2, SIX4, MDFI, PDGFRB, FOS, FLI1, FGF11, TAGLN2, RNF144B"
"AP1_01",0.112676056338028,0.226740318708968,0.16440575583821,0.271687095022294,1.18523348561576,244,"C19orf33, CHST4, SLC11A1, SLC38A2, TBXAS1, EMP3, GPSM3, CLIC1, ANGPT1, SCEL, EPHA2, SLC4A11, IL6, BTK, EYA1, DHRS3, TNFRSF12A, KRT8, ABI3, TINAGL1, CSF3, GADD45G, GFAP, TGFBR2, VASP, MDFI, CDKN1A, SERTAD1, BACH1, TAGLN2, FOSL1, MRGPRF, PIM1, G3BP1, DTNA, HSPB8, ABHD4, HEPH, PLCD1, LAMA3"
"AP1_C",0.00113176731814148,0.00428236282540018,0.45505986738723,0.33212576048362,1.46039681423902,260,"HOXA11, MMP9, C19orf33, ANKRD22, WNT6, LYVE1, CHST4, IL9, GJA1, LRRN4CL, MYBPH, CLIC1, SCEL, EMP1, LAPTM5, CAPN6, EPHA2, SLC4A11, BTK, EYA1, TOB1, IL10, CSF3, GADD45G, FSTL1, MAMDC2, VASP, PRX, MDFI, PDGFRB, FERMT3, BACH1, RELA, FGF11, FOSL1, RNF144B, RGS2, DTNA, HSPB8, ABHD4, HEPH, ITPKC, PLCD1, REEP4, FABP4, LAMA3, PKN3, ROM1, CLDN15"
